,Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,DC/S,CT/S,CP/S,L1/S,L2/S,L3/S,L4/S,L5/S,L6/S,VP/S,NP/S,PP/S,Avg_NP,Avg_PP,Avg_VP,Sbar/S,treeH/S,W/S,letter/W,Syl/W,NV,VV1,svv,cvv,advvv,adjvv,LD,ttr,rttr,cttr,bttr,uber,awlF,ari,aspw,cole_l_i,dale_c_r,diff_w,flesch_k_g,flesch_e_r,gun_fog,lexi_c,linsear_w,li_x
0,370.txt,408,24,45,35,24,9,6,5,52,17.0,17.0,11.6571,1.4583,1.875,1.4583,0.2571,0.375,1.0,0.25,0.2083,0.1429,2.1667,1.4857,0.375,0.25,0.20833333329999998,6.458333333300001,3.3333333332999997,1.75,0.5,0.0,0.0,2.6071428571,5.4285714286,1.7857142857,3.4671052632,3.4671052632,3.4671052632,0.25,9.75,22.4285714286,3.9363057325,1.4437367304,0.5294117647,0.3193277311,24.268907563000003,3.4834542887,0.0462184874,0.1680672269,0.5371549894,0.5053078556,10.9664611265,7.7544590282,0.8890977809999999,43.870932035,0.008492569002123142,8.5,1.4,10.43,7.23,0.15711252653927812,6.3,74.39,14.901546134663342,401,4.333333333333333,37.680597014925375
1,536.txt,610,46,66,59,46,11,8,15,83,13.2609,13.2609,10.339,1.2826,1.4348,1.2826,0.1864,0.2391,1.0,0.1739,0.3261,0.2542,1.8043,1.4068,0.2391304348,0.1739130435,0.32608695649999997,4.4347826087,2.347826087,1.9347826087,0.2608695652,0.043478260899999996,0.0,1.8775510203999999,4.8163265306,1.4081632653,3.5677966102,3.5677966102,3.5677966102,0.24489795920000001,8.9387755102,15.434782608699999,4.2366197183,1.6154929577000001,0.5846153846,0.25846153850000003,21.7107692308,3.2947510703,0.05846153849999999,0.3169230769,0.5577464789,0.45774647890000003,12.197032656900001,8.6246045021,0.8809736102,42.8089716777,0.007042253521126761,9.8,1.6,12.69,7.7,0.18309859154929578,8.1,58.89,15.699495798319328,595,2.9545454545454546,41.99866220735786
2,705.txt,232,17,21,19,17,3,3,7,39,13.6471,13.6471,12.2105,1.1176,1.2353,1.1176,0.1579,0.1765,1.0,0.1765,0.4118,0.3684,2.2941,2.0526,0.1764705882,0.1764705882,0.4117647059,5.941176470599999,2.6470588235,1.2941176471,0.2941176471,0.0,0.0,1.7777777778,5.833333333300001,1.7222222222,3.4761904762,3.4761904762,3.4761904762,0.22222222219999999,9.5,16.4375,4.1178707224,1.4410646388,0.55,0.2428571429,8.2571428571,2.0318886359,0.014285714299999999,0.21428571429999999,0.5437262357,0.5323193916,8.6327698237,6.1042900827999995,0.8868459835,38.7301826998,0.011406844106463879,8.4,1.4,10.49,7.33,0.16730038022813687,6.2,74.69,15.052173913043479,230,6.0,38.28260869565217
3,12.txt,156,10,20,15,11,4,3,4,14,15.6,14.1818,10.4,1.5,1.8182,1.3636,0.2667,0.3636,1.1,0.2727,0.3636,0.2667,1.2727,0.9333,0.4,0.3,0.4,5.8,2.5,2.3,0.3,0.0,0.0,2.6363636364,5.6363636364,1.1818181818,3.8709677419,3.8709677419,3.8709677419,0.3636363636,10.2727272727,16.4545454545,3.6850828729000003,1.4309392265,0.5130434783,0.2260869565,5.8782608696,1.7143892308000002,0.043478260899999996,0.0695652174,0.5414364641,0.6353591160000001,8.547882681799999,6.0442658091,0.9127507624,49.638719307200006,0.0,7.8,1.4,8.69,7.8,0.18232044198895028,6.9,72.87,16.74745098039216,153,6.071428571428571,37.522222222222226
4,475.txt,240,16,42,25,16,9,8,5,24,15.0,15.0,9.6,1.5625,2.625,1.5625,0.36,0.5625,1.0,0.5,0.3125,0.2,1.5,0.96,0.5625,0.5,0.3125,5.125,4.375,1.3125,0.5,0.0,0.0,3.9411764706,4.7647058824,1.1176470588,3.0987654321,3.0987654321,3.0987654321,0.5882352941,11.5882352941,16.8125,4.219330855,1.4089219331,0.5298013245000001,0.3642384106,20.0331125828,3.1648943570999997,0.0529801325,0.0662251656,0.5687732342,0.56133829,9.2066324888,6.510072264700001,0.8967897531,43.5949460596,0.022304832713754646,8.9,1.4,10.9,7.46,0.17472118959107807,6.4,74.29,15.492489451476795,237,6.071428571428571,38.79451476793249
5,218.txt,110,8,20,18,10,5,4,2,11,13.75,11.0,6.1111,2.25,2.0,1.8,0.2778,0.5,1.25,0.4,0.2,0.1111,1.1,0.6111,0.625,0.5,0.25,6.25,2.125,1.375,0.25,0.0,0.0,2.8888888889,5.0,1.0,2.6222222222,2.6222222222,2.6222222222,0.6666666667,10.1111111111,16.125,3.4728682171,1.3023255814,0.37662337659999995,0.2597402597,5.1948051948,1.6116459281,0.0779220779,0.0649350649,0.4651162791,0.5968992248,6.7794719787,4.7938106089999994,0.8938216253,36.5666477055,0.007751937984496124,5.8,1.3,7.24,6.63,0.12403100775193798,5.1,83.05,13.311559633027523,109,5.857142857142857,29.196330275229357
6,244.txt,447,34,61,48,36,10,9,9,42,13.1471,12.4167,9.3125,1.4118,1.6944,1.3333,0.2083,0.2778,1.0588,0.25,0.25,0.1875,1.1667,0.875,0.2941176471,0.2647058824,0.2647058824,5.0,1.9705882353,1.6470588234999999,0.4117647059,0.0882352941,0.0,2.6,4.6,1.6,2.8074534161,2.8074534161,2.8074534161,0.2857142857,9.457142857100001,15.0882352941,3.9415204677999998,1.3957115009999999,0.5146443515,0.35564853560000004,30.230125523,3.8878095068,0.10041841,0.1589958159,0.5263157895,0.4658869396,10.552107778,7.4614669656,0.8775995945999999,39.2657375393,0.01364522417153996,7.0,1.4,9.55,6.88,0.14619883040935672,5.3,76.93,13.322721088435372,441,3.3181818181818183,34.8827664399093
7,355.txt,225,23,38,32,24,8,8,6,12,9.7826,9.375,7.0312,1.3913,1.5833,1.3333,0.25,0.3333,1.0435,0.3333,0.25,0.1875,0.5,0.375,0.347826087,0.347826087,0.2608695652,4.1739130435,2.0434782609,0.6086956522,0.5217391304,0.0,0.0,2.0416666667,3.3333333332999997,1.0,2.4,2.4,2.4,0.3333333333,8.9583333333,11.304347826099999,3.8192307692000003,1.4230769231,0.38157894740000003,0.2960526316,13.322368421099998,2.580927006,0.0789473684,0.1315789474,0.5192307692,0.5846153846,9.426639828799999,6.6656409467,0.9034648725,47.0181134308,0.0038461538461538464,6.6,1.4,9.2,6.62,0.13076923076923078,5.3,77.13,12.593846153846156,221,6.5,32.81945701357466
8,318.txt,545,41,73,57,43,10,8,16,49,13.2927,12.6744,9.5614,1.3902,1.6977,1.3256,0.1754,0.2326,1.0488,0.18600000000000003,0.3721,0.2807,1.1395,0.8596,0.243902439,0.1951219512,0.3902439024,4.6341463415,3.4390243901999997,1.4390243902000002,0.26829268289999997,0.0,0.0,2.3111111111000002,4.5333333333,1.4222222222,3.1323529412,3.1323529412,3.1323529412,0.3111111111,9.6666666667,16.0,3.8765625,1.4171875,0.5623003195,0.303514377,28.833865814699998,3.7969636431000002,0.04792332269999999,0.124600639,0.5078125,0.4890625,12.3724113454,8.748615962,0.8893030243000001,46.163102852600005,0.00625,8.0,1.4,9.9,7.51,0.171875,6.1,75.0,15.428148148148148,540,4.222222222222222,35.299447513812154
9,260.txt,414,31,68,51,31,15,13,9,39,13.3548,13.3548,8.1176,1.6452,2.1935,1.6452,0.2941,0.4839,1.0,0.4194,0.2903,0.1765,1.2581,0.7647,0.48387096770000004,0.41935483869999995,0.2903225806,4.8387096774,3.2258064516000005,0.935483871,0.41935483869999995,0.0,0.0,2.9411764706,4.6470588235,1.0882352941,2.8670886076,2.8670886076,2.8670886076,0.5,10.0882352941,15.59375,3.8256513026,1.3947895791999998,0.5387931034000001,0.35344827590000005,28.9827586207,3.8067544326,0.0732758621,0.13362068970000002,0.5110220441,0.4649298597,10.38574636,7.3438316789,0.8767234373999999,38.7363356969,0.012024048096192385,7.6,1.4,10.07,6.84,0.13627254509018036,5.5,76.52,13.314146341463413,410,4.8125,37.30975609756098
